"dojo/dojo";"2020-02-12 15:02:50"
"jorgebucaran/hyperapp";"2020-03-09 13:34:26"
"riot/riot";"2020-03-08 20:41:38"
"Daemonite/material";"2020-01-10 00:56:21"
"Polymer/lit-element";"2020-03-07 20:09:27"
"aurelia/aurelia";"2020-02-08 21:22:08"
"sveltejs/svelte";"2020-03-10 02:22:39"
"neomjs/neo";"2020-03-09 12:10:22"
"marko-js/marko";"10097"
"MithrilJS/mithril.js";"339"
"angular/angular";"614497"
"emberjs/ember.js";"5625"
"knockout/knockout";"6159"
"tastejs/todomvc";"5465"
"spine/spine";"2031"
"vuejs/vue";"366614"
"Polymer/polymer";"16481"
"facebook/react";"1237054"
"finom/seemple";"12"
"aurelia/framework";"410525"
"optimizely/nuclear-js";"37"
"jashkenas/backbone";"24404"
"dojo/dojo";"23795"
"jorgebucaran/hyperapp";"841"
"riot/riot";"5140"
"Daemonite/material";"128329"
"Polymer/lit-element";"811"
"aurelia/aurelia";"4378"
"sveltejs/svelte";"5975"
"neomjs/neo";"29038"
"marko-js/marko ";" 3.75"
"MithrilJS/mithril.js ";" 28.09"
"angular/angular ";" 4.55"
"emberjs/ember.js ";" 7.58"
"knockout/knockout ";" 79.30"
"tastejs/todomvc ";" 178.48"
"spine/spine ";" 69.66"
"vuejs/vue ";" 8.86"
"Polymer/polymer ";" 15.10"
"facebook/react ";" 19.67"
"finom/seemple ";" 17.02"
"aurelia/framework ";" 16.67"
"optimizely/nuclear-js ";" 36.38"
"jashkenas/backbone ";" 101.70"
"dojo/dojo ";" 19.39"
"jorgebucaran/hyperapp ";" 9.39"
"riot/riot ";" 10.91"
"Daemonite/material ";" 86.99"
"Polymer/lit-element ";" 20.04"
"aurelia/aurelia ";" 113.56"
"sveltejs/svelte ";" 3.94"
"neomjs/neo ";" 4.18"
"marko-js/marko";"57
"
"MithrilJS/mithril.js";"226
"
"angular/angular";"205,960
"
"emberjs/ember.js";"23,403
"
"knockout/knockout";"20,097
"
"tastejs/todomvc";"46
"
"spine/spine";"34
"
"vuejs/vue";"51,505
"
"Polymer/polymer";"8,220
"
"facebook/react";"194,443
"
"finom/seemple";"None"
"aurelia/framework";"10,745
"
"optimizely/nuclear-js";"None"
"jashkenas/backbone";"20,648
"
"dojo/dojo";"9,253
"
"jorgebucaran/hyperapp";"15
"
"riot/riot";"63
"
"Daemonite/material";"555
"
"Polymer/lit-element";"317
"
"aurelia/aurelia";"3,269
"
"sveltejs/svelte";"615
"
"neomjs/neo";"None"
